Category,Sub-category,Brand,Model
Cars,Hatchback,Maruti Suzuki,Alto 800
Cars,Sedan,Maruti Suzuki,Ciaz
Cars,MPV,Maruti Suzuki,Omni
Cars,SUV,Mahindra,Thar
Cars,Crossover,Maruti Suzuki,S-Cross
Cars,Coupe,Ford,Mustang
Motorcycles,Sport bike,Suzuki,"Gixxer SF, Hayabusa, V-Strom"
Motorcycles,Scooter,Yamaha,"XMAX, SMAX, Zuma 125"
Motorcycles,Cruiser,Honda,"Fury, SHADOW PHANTOM, SHADOW AERO"
Heavy vehicles,Trucks,Isuzu,"MU-X, i-Series, h-Series"
Heavy vehicles,Buses,Yutong,"YT3621, YT3761, 952A"
Heavy vehicles,Cranes,Terex,"AC250-1, HC165, HC230"
Boats,Motorboats,Sea Ray,"SLX 250, SLX 280, SLX 310"
Boats,Sailboats,Hallberg-Rassy,"Hallberg-Rassy 24 - Misil II, Hallberg-Rassy 26, Hallberg-Rassy 29"
Boats,Paddle boats,Ceclo,"Aquatic center, 4-person paddle boat cruise, two-seater funx2"
