Category,Sub-category,Brand,Model
Motorcycles,Sport bike,Suzuki,"Gixxer SF, Hayabusa, V-Strom"
Motorcycles,Sport bike,Honda,"CBR650R ABS, CBR500R ABS, CBR300R,CB500F"
Motorcycles,Sport bike,Yamaha,"YZF-R3, YZF-R6, YZF-R1, YZF-R1M"
Motorcycles,Sport bike,BMW,"M 1000 RR, R 1250 RS"
Motorcycles,Scooter,Yamaha,"XMAX, SMAX, Zuma 125"
Motorcycles,Scooter,Vespa,"GTS 300, VXL 125, SXL 125"
Motorcycles,Scooter,Honda,"Activa 6G, Dio, TVS, Ntorq"
Motorcycles,Cruiser,Honda,"Fury, SHADOW PHANTOM, SHADOW AERO"
Motorcycles,Cruiser,Suzuki,"Suzuki Boulevard M90, Suzuki Boulevard M50, Suzuki Boulevard C50"
Motorcycles,Cruiser,Yamaha,"Yamaha MT-07, Yamaha TW-200, Yamaha V Star 250"
Heavy vehicles,Trucks,Isuzu,"MU-X, i-Series, h-Series"
Heavy vehicles,Trucks,Ford,"F-150 Platinum, F-150 Tremor, F-150 Raptor"
Heavy vehicles,Trucks,GMC.,"Sierra, Canyon, Yukon"
Heavy vehicles,Buses,Yutong,"YT3621, YT3761, 952A"
Heavy vehicles,Buses,King Long,"XMQ6119G, XMQ6105G, XMQ6106G"
Heavy vehicles,Buses,Marcopolo,"Paradiso 1350, Novo Torino Express, Novo Torino Low Entry "
Heavy vehicles,Cranes,Terex,"AC250-1, HC165, HC230"
Heavy vehicles,Cranes,Caterpillar,"DP55N1, GP55N1, GP50N1"
Heavy vehicles,Cranes,Hitachi,"KH 100D, KH 125-3, KH 180-3 "
Boats,Motorboats,Sea Ray,"SLX 250, SLX 280, SLX 310"
Boats,Motorboats,Bertram,"61 CONVERTIBLE, 50 SPORT, 35 FLYBRIDGE"
Boats,Motorboats,Tracker,"TARGA V-19 WT, PRO TEAM 190 TX, TARGA V-18 WT"
Boats,Sailboats,Hallberg-Rassy,"Hallberg-Rassy 24 - Misil II, Hallberg-Rassy 26, Hallberg-Rassy 29"
Boats,Sailboats,Amel Yachts,"Amel 54, Amel 64, Amel 50"
Boats,Sailboats,Tartan Yachts,"Tartan 5300, Tartan 5700, Tartan 4300"
Boats,Paddle boats,Ceclo,"Aquatic center, 4-person paddle boat cruise, two-seater funx2"
Boats,Paddle boats,Martini,"Sunny H20, Jolie, Seabuggy 405"
Boats,Paddle boats,Pioner,"222 SPORTFISH, 220 BAY SPORT, 180 ISLANDER"











































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































