Mini Code,Code,Language name,Native name,,,
aa,aar,Afar,Afaraf ,,,
ab,abk,Abkhaz,"аҧсуа бызшәа, аҧсшәа ",,,
ae,ave,Avestan,avesta ,,,
af,afr,Afrikaans,Afrikaans ,,,
ak,aka,Akan,Akan ,,,
am,amh,Amharic,አማርኛ ,,,
an,arg,Aragonese,aragonés ,,,
ar,ara,Arabic,العربية ,,,
as,asm,Assamese,অসমীয়া ,,,
av,ava,Avaric,"авар мацӀ, магӀарул мацӀ ",,,
ay,aym,Aymara,aymar aru ,,,
az,aze,Azerbaijani,azərbaycan dili ,,,
az,azb,South Azerbaijani,تورکجه‎ ,,,
ba,bak,Bashkir,башҡорт теле ,,,
be,bel,Belarusian,беларуская мова ,,,
bg,bul,Bulgarian,български език ,,,
bh,bih,Bihari,भोजपुरी ,,,
bi,bis,Bislama,Bislama ,,,
bm,bam,Bambara,bamanankan ,,,
bn,ben,Bengali, Bangla,বাংলা ,,
bo,tib,"Tibetan Standard, Tibetan, Central ",བོད་ཡིག ,,,
br,bre,Breton,brezhoneg ,,,
bs,bos,Bosnian,bosanski jezik ,,,
ca,cat,Catalan, Valencian,"català, valencià ",,
ce,che,Chechen,нохчийн мотт ,,,
ch,cha,Chamorro,Chamoru ,,,
co,cos,Corsican,"corsu, lingua corsa ",,,
cr,cre,Cree,ᓀᐦᐃᔭᐍᐏᐣ ,,,
cs,cze,Czech,"čeština, český jazyk ",,,
cu,chu,"Old Church Slavonic, Church Slavonic, Old Bulgarian ",ѩзыкъ словѣньскъ ,,,
cv,chv,Chuvash,чӑваш чӗлхи ,,,
cy,wel,Welsh,Cymraeg ,,,
da,dan,Danish,dansk ,,,
de,ger,German,Deutsch ,,,
dv,div,Divehi, Dhivehi, Maldivian,,ދިވެހި 
dz,dzo,Dzongkha,རྫོང་ཁ ,,,
ee,ewe,Ewe,Eʋegbe ,,,
el,gre,"Greek, Modern ",ελληνικά ,,,
en,eng,English,English ,,,
eo,epo,Esperanto,Esperanto ,,,
es,spa,Spanish, Castilian,"español, castellano ",,
et,est,Estonian,"eesti, eesti keel ",,,
eu,baq,Basque,"euskara, euskera ",,,
fa,per,Persian (Farsi),فارسی ,,,
ff,ful,Fula, Fulah, Pulaar, Pular,"Fulfulde, Pulaar, Pular "
fi,fin,Finnish,"suomi, suomen kieli ",,,
fj,fij,Fijian,vosa Vakaviti ,,,
fo,fao,Faroese,føroyskt ,,,
fr,fre,French,"français, langue française ",,,
fy,fry,Western Frisian,Frysk ,,,
ga,gle,Irish,Gaeilge ,,,
gd,gla,Scottish Gaelic, Gaelic,Gàidhlig ,,
gl,glg,Galician,galego ,,,
gn,grn,Guaraní,Avañe'ẽ ,,,
gu,guj,Gujarati,ગુજરાતી ,,,
gv,glv,Manx,"Gaelg, Gailck ",,,
ha,hau,Hausa,"Hausa, هَوُسَ ",,,
he,heb,Hebrew (modern),עברית ,,,
hi,hin,Hindi,"हिन्दी, हिंदी ",,,
ho,hmo,Hiri Motu,Hiri Motu ,,,
hr,hrv,Croatian,hrvatski jezik ,,,
